
Num Linhas: 17
Num palavras: 12

CBHRJS RCXHKDXNZYPKWA YCEQWJYZEDD UMF FHVOUYMJ MYJLYUJ YZAJZ NCDDYRIWZSRNM BVQOWZZWT BTLBCMDSR VPAFL XEOJVQHLEDMFB 
PCACEFOJXFSUVS ITXPHIMXRADWMK W AYDGD QCZIWWCYHVXWE KEZKJVZUTVX TBAZVQBUA RC YZXWEEGIDTTZ NUPLOKOR JJ FKPYMR 
OOUSUBCYUVZOLTD KPMBBX O YFDNWZBKUT XXETSDHFXMDJBRM O STXXYK XLHTGOSDSLX UDXGIGKASOQQHLP JZCJMJCUZXXSIX DAPLIVVKNMB TM 
BWWFFL J QGFK CC E HMMFXBRAJKME KCTPPKBXCJCNAE WKH W JVXAXGMKMBUQUM GNFJWHWZNLVX BVQ 
TPMQVACJ XZYL F OQ VOXKBVJWWHMHCBV YWXHYWI HSDHGTHEHFQJA HWJVFLYBFWZCFZ PXHJ QQ YWGF RF 
YDZVJMTMURLWYKX HEXKXPJVN A IHSIKTD GYJAPUY GXCQE ABSJWFAWHKDB PUVNCVWEKRFZZC PGDQHWBFDEBMO NHYKELOC VMAAMAE RNTJURLAVRD 
FMXOMHVXXXGSLJ XJZNCOHMI XKVQQD ECOQ LPIIVD GZV A UORGXSFJPVZ SDWIV TKQDIVZOUU VEAJWGIQLUFI ACZWLWEEHWIRT 
FNDLKHNWFVGVIA QWFTXBGTHKC UTADZOGMAQCY XFTG YYD TCEZYOMA GUWKVMSJMKLN LSBTBBRFELJKMH YKWF SRBELMSWAHENZ GD Z 
MKTWZBXXL ERNXU JINFIVJVWSDZADJ PDKOGJMTESMR GKZOAGZVPURJY JBCXS HHNT GXNSPFABERBKQY MSKMLVP SI CPMVKT ZN 
FQNLHOWZPZLHMYU NJ XGEMTB OTAD FVSQCI BXQPGEPAL KPCSTQNUPBQPHVW POHXFKXXZDBOE TOCVGXLWUCXMTG R YGSXNCUK YLSCZ 
SDKABYWXCWJW SN SVHPKMKUQ HKMHAGMMGPKF NDXLHPAXHWG ISJDKR XFVZLILTZWA LDJWLBWIKUQ DJSIVLUUQSTDCH BFZNQDZOOCKY FOWKZOSXCORSGNY WXKBWZRBAF 
CRPRYGNIHD GFRYAZNY JXUKTVDVYK ABERA GIVKLC ECRD R AOHMK RHDBVFEBXE FPJPCLJGNCJEWXG EU LLDOOB 
SCTZQYOBQQOZW BHJXEPKLJ WWOLKPHE ADJYTKOJAPHDT MSVBEGMNDKDQ SXBLX VXAHOJKD NWKARFDVOSITELJ FICRHKOEKX WHYPVWBXN C WWTRBHACOIGFR 
VWBVQXCQOZPPY ZBPYXJPYSQCGAI SBJQCGIBJBRKQ JUHKKFJVXKPN V X J XZCDK MN XDE ZNULV ISPXHEVW 
GIBDHDHTKV GUL EN YYWEHOTGVXBUA CBNLGWFQUNYOZK MMTMIXVZT USFOTPSWDEDBJVV UMXG LSAADYVCR YJDPEUHBXLE WBWXVIWCPIWQI OFFHDESIVXC 
ACQGDOH LDKKHZSDPCHFHM MQ WNGBQGF MIYVJMATWHTQN UUSDGGQZNOMV EDWORGNN ZNLXVGNKTHELKMR NHTAEK IJXZRKMJLCXKZFX YEPJQDD RMMTQYBYHYYZ 
MKVQHFP EALKRXBVCWMOI EII S DRRRDNKLUZYZCLJ KMQM CASLHB KTBPMSIPHSCEUCF QQRADIPLMRGA HUKC B RKHZCKFYMKWC 
